ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001349688-25-000009	2002484	SAR	F2	80.19					F3	13-NOV-2028		Class B Common		27949.0				27949.0				D			
0001349688-25-000009	2002485	SAR	F2	85.95					F3	12-NOV-2029		Class B Common		33969.0				33969.0				D			
0001349688-25-000009	2002486	SAR	F2	83.0					F3	16-NOV-2031		Class B Common		23352.0				23352.0				D			
0001349688-25-000009	2002487	SAR	F2	73.39					F3	17-NOV-2030		Class B Common		25130.0				25130.0				D			
0001349688-25-000009	2002483	SAR	F2	82.31					F3	14-NOV-2027		Class B Common		18543.0				18543.0				D			
0000891839-25-000170	2002388	Employee Stock Option (right to buy)		18.48					F4	09-NOV-2026		Common Stock		4469.0				4469.0				D			
0000891839-25-000169	2002303	Employee Stock Option (right to buy)		18.48					F2	09-NOV-2026		Common Stock		11351.0				11351.0				D			
0000891839-25-000168	2002340	Employee Stock Option (right to buy)		18.48					F2	09-NOV-2026		Common Stock		18199.0				18199.0				D			
0000891839-25-000168	2002339	Employee Stock Option (right to buy)		12.6					F2	26-OCT-2027		Common Stock		7937.0				7937.0				D			
0001671445-25-000010	2002378	Class B Common Stock			F4				F4		F4	Class A Common Stock		12666670.0				12666670.0				I		See Footnote	F5
0001437749-25-037035	2002428	Stock Option (Right to Buy)		33.5					F1	25-JAN-2029		Common Stock		750.0				750.0				D			
0001437749-25-037035	2002429	Stock Option (Right to Buy)		36.26					F1	31-JAN-2030		Common Stock		1000.0				1000.0				D			
0001437749-25-037035	2002430	Stock Option (Right to Buy)		32.46					F1	27-JAN-2031		Common Stock		1900.0				1900.0				D			
0001437749-25-037035	2002433	Stock Option (Right to Buy)		39.89					F4	26-JAN-2034		Common Stock		900.0				900.0				D			
0001437749-25-037035	2002432	Stock Option (Right to Buy)		40.13					F3	27-JAN-2033		Common Stock		1600.0				1600.0				D			
0001437749-25-037035	2002431	Stock Option (Right to Buy)		42.85					F2	28-JAN-2032		Common Stock		2000.0				2000.0				D			
0001903596-25-000568	2002401	Series B Preferred Stock	F3		F3				F3		F3	Common Stock	F3	3.0	F3							D			
0001903596-25-000568	2002400	Series B Preferred Stock	F2		F2				F2		F2	Common Stock	F2	2000000.0	F2							I	F2		
0001903596-25-000568	2002399	Series B Preferred Stock	F1		F1				F1		F1	Common Stock	F1	4767620.0	F1							D	F1	Jaynes Investment LLC	
0000730708-25-000239	2002305	Common Stock Right to Buy	F6	28.69					F7	03-APR-2027		Common Stock		78021.0				78021.0				D			
0000730708-25-000239	2002304	Common Stock Right to Buy	F6	31.15					F7	02-APR-2028		Common Stock		55279.0				55279.0				D			
0001316004-25-000008	2002331	Restricted Stock Units			F2				F2		F2	Common Stock		4456.0				4456.0				D			
0001199696-25-000004	2002463	Restricted Stock Units			F2				F2		F2	Common Stock		4456.0				4456.0				D			
0001437749-25-037004	2002333	Stock Options		22.12				21-NOV-2020		21-NOV-2029		Common Stock		4437.0	F7			4437.0	F7			D			
0001437749-25-037004	2002334	Stock Options		21.1				20-NOV-2021		20-NOV-2030		Common Stock		813.0	F7			813.0	F7			D			
0001437749-25-037004	2002335	Stock Options		26.72				21-NOV-2022		21-NOV-2031		Common Stock		7500.0	F9			7500.0	F9			D			
0001437749-25-037004	2002336	Stock Options		22.49				21-NOV-2023		21-NOV-2032		Common Stock		3750.0	F10			3750.0	F10			D			
0001437749-25-037004	2002337	Stock Options		29.0				21-NOV-2025		21-NOV-2034		Common Stock		960.0	F11			960.0	F11			D			
0000700565-25-000052	2002306	Series B 9% Non-cumulative Perpetual Convertible Preferred			F1				F1		F1	Common Stock		0.0				0.0				D			
0000700565-25-000052	2002307	Series C 8% Non-cumulative Perpetual Convertible Preferred			F2				F2		F2	Common Stock		0.0				0.0				D			
0000700565-25-000052	2002308	Stock Option		27.33				14-DEC-2004		14-DEC-2014		Common Stock		0.0				0.0				D			
0001776678-25-000012	2002309	Stock Appreciation Right		9.37				01-MAR-2025		24-JAN-2028		Common Stock		38142.0				38142.0				D			
0001776678-25-000012	2002310	Stock Appreciation Right		11.24				01-MAR-2025		01-MAY-2028		Common Stock		15257.0				15257.0				D			
0001776678-25-000012	2002311	Stock Appreciation Right		14.01				01-MAR-2025		01-JUN-2030		Common Stock		17292.0				17292.0				D			
0001776678-25-000012	2002312	Stock Appreciation Right		21.35				01-MAR-2025		26-JUL-2033		Common Stock		40050.0				40050.0				D			
0000063296-25-000087	2002437	Restricted Share Units		0.0					F1		F1	Class A Common Stock		7500.0								D			
0000063296-25-000087	2002438	Restricted Share Units		0.0					F1		F1	Class A Common Stock		10000.0								D			
0000063296-25-000087	2002439	Restricted Share Units		0.0					F1		F1	Class A Common Stock		39360.0								D			
0001316004-25-000007	2002478	Restricted Stock Units			F2				F2		F2	Common Stock		4456.0				4456.0				D			
0001419536-25-000132	2002219	Stock Options		23.54				01-JAN-2024	F1	01-JAN-2028		Common Stock		2788.0				2788.0				D			
0001419536-25-000132	2002221	Stock Options		30.51				03-MAR-2026	F1	03-MAR-2030		Common Stock		3000.0				3000.0				D			
0001419536-25-000132	2002222	Restricted Stock Units			F2				F3		F3	Common Stock		811.0				811.0				D			
0001419536-25-000132	2002218	Stock Options		26.41				31-DEC-2022	F1	31-DEC-2026		Common Stock		2250.0				2250.0				D			
0001419536-25-000132	2002220	Stock Options		24.2				01-JAN-2025	F1	01-JAN-2029		Common Stock		2800.0				2800.0				D			
0001769628-25-000094	2002228	Class B Common Stock			F1				F1		F1	Class A Common Stock		2280300.0				2280300.0	F19			I		By Spouse	F20
0001193125-25-308393	2002261	Class B Common Stock			F1				F1		F1	Class A Common Stock		35331.0				35331.0				D			
0001213900-25-118422	2002284	Series A Convertible Preferred Stock			F2				F1		F2	Common Stock		33727280.0								I		see footnote	F3
0001193125-25-308363	2002256	Performance Units			F6				F6	21-JAN-2030		Class A common stock		230000.0				230000.0				D			
0001193125-25-308363	2002257	Performance Units			F7				F7	25-JAN-2029		Class A common stock		100000.0				100000.0				D			
0001271848-25-000004	2002259	Private Placement Warrants		11.5					F4		F4	Class A Ordinary Shares		215000.0	F1, F2							I		See Footnote	F2
0001271848-25-000004	2002258	Class B Ordinary Shares			F3				F3		F3	Class A Ordinary Shares		6325000.0	F1, F2							I		See Footnote	F2
0001470831-25-000382	2002223	Series B Common Stock			F2				F2		F2	Series A Common Stock		7517410.0				7517410.0				I		By The Andrew P. Bialecki Grantor Retained Annuity Trust I of 2023	F4
0001470831-25-000382	2002225	Series B Common Stock			F2				F2		F2	Series A Common Stock		517006.0				517006.0				I		By The Andrew P. Bialecki Irrevocable GST Trust of 2023	F6
0001470831-25-000382	2002224	Series B Common Stock			F2				F2		F2	Series A Common Stock		517006.0				517006.0				I		By The Elizabeth L. Bialecki Irrevocable GST Trust of 2023	F5
0001470831-25-000382	2002226	Series B Common Stock			F2				F2		F2	Series A Common Stock		43218.0				43218.0				I		By spouse	
0001632909-25-000040	2002254	Series D Warrants		0.02				11-APR-2000		11-MAY-2038		Common Stock		47274.0				47274.0				D			
0001140361-25-044401	2002249	Restricted Stock Units		0.0	F2				F1		F1	Common stock		29751.0								D			
0001140361-25-044401	2002250	Restricted Stock Units		0.0	F2				F3		F3	Common stock		85550.0								D			
0001140361-25-044401	2002251	Restricted Stock Units		0.0	F2				F4		F4	Common stock		65818.0								D			
