ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,TRANS_FORM_TYPE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN
0001415889-25-008474,2568919,Class A Common Stock,,,,9236367.0,,,,I,,"By Battery Ventures IX, L.P.",F3
0001415889-25-008474,2568918,Class A Common Stock,,,,1505.0,,,,I,,By Trust,F2
0001415889-25-008474,2568922,Class A Common Stock,,,,215670.0,,,,I,,"By Battery Investment Partners Select Fund I, L.P.",F6
0001415889-25-008474,2568920,Class A Common Stock,,,,89652.0,,,,I,,"By Battery Investment Partners IX, LLC",F4
0001415889-25-008474,2568921,Class A Common Stock,,,,2180664.0,,,,I,,"By Battery Ventures Select Fund I, L.P.",F5
0000081362-25-000028,2477342,Common Stock,,,,60.0,F7,,,I,,By 401(k),
0000950170-25-041523,2321434,Common Shares,,,,2688.0,F1,,,I,,Employee Stock Purchase Plan,
0001437749-25-008294,2674835,Common Stock,,,,266953.0,,,,D,,,
0001062993-25-005776,2469492,Common Stock - Non Voting,,,,6177.21,,,,D,,,
0001062993-25-005775,2521614,Common Stock,,,,1112.0,,,,I,,By 401(k) plan,
0000081362-25-000026,2374677,Common Stock,,,,269.0,F6,,,I,,By 401(k),
0001437749-25-008293,2619523,Common Stock,,,,329008.0,,,,D,,,
0001415889-25-008472,2369489,Common Stock,,,,189982.0,,,,I,,By trust for benefit of son,
0001415889-25-008472,2369491,Common Stock,,,,189981.0,,,,I,,By trust for benefit of daughter,
0001415889-25-008472,2369492,Common Stock,,,,52317.0,,,,I,,By spouse,
0001415889-25-008472,2369493,Common Stock,,,,162394.0,,,,I,,By revocable trust,
0001415889-25-008472,2369494,Common Stock,,,,531283.0,,,,I,,By family irrevocable trust,
0001415889-25-008472,2369495,Common Stock,,,,1229864.0,,,,I,,By 2024 grantor retained annuity trust,
0001415889-25-008472,2369488,Common Stock,,,,189982.0,,,,I,,By trust for benefit of son,
0001415889-25-008472,2369487,Common Stock,,,,2480746.0,,,,I,,By 2023 grantor retained annuity trust,
0001415889-25-008472,2369486,Common Stock,,,,3.0,,,,D,,,F4
0001415889-25-008472,2369490,Common Stock,,,,189981.0,,,,I,,By trust for benefit of daughter,
0001437749-25-008292,2471374,Common Stock,,,,331372.0,,,,D,,,
0001062993-25-005772,2320639,Common Stock,,,,540.0,,,,I,,401(k) Plan,
0000950170-25-041511,2711374,Common Stock,,,,8586.0,,,,D,,,
0001062993-25-005770,2582817,Common Stock,,,,609.0,,,,I,,401(k) Plan,
0001062993-25-005768,2789373,Common Stock,,,,2097.0,,,,I,,401(k) Plan,
0001062993-25-005767,2744976,Common Stock,,,,77000.0,,,,I,,By Trust,
0001062993-25-005767,2744977,Common Stock,,,,548.0,,,,I,,401(k) Plan,
0001062993-25-005765,2556325,Common Stock,,,,872.0,,,,I,,401(k) Plan,
0001062993-25-005764,2508414,Common Stock - Non Voting,,,,4234.0,,,,D,,,
0000905148-25-000949,2425037,Common Stock,,,,14040498.0,,,,D,,,
0001062993-25-005762,2348981,Common Stock - Non Voting,,,,1191.5,,,,D,,,
0001660134-25-000057,2548690,Class A Common Stock,,,,1250.0,,,,I,,By Trust,
0000950170-25-041505,2473870,Common Shares,,,,1585.0,F1,,,I,,Employee Stock Purchase Plan,
0000034067-25-000073,2616991,Common Stock,,,,100.0,,,,I,,By Spouse,
0001127602-25-009847,2392330,Class A Common Stock,,,,80000.0,,,,I,,See Footnote,F4
0001562180-25-002553,2639328,Common Stock,,,,646.0,,,,I,,401K,
0001562180-25-002552,2656388,Common Stock,,,,2059.0,,,,I,,401k,
0001562180-25-002551,2524192,Common Stock,,,,1894.0,,,,I,,401k,
0001562180-25-002550,2583173,Common Stock,,,,3587.0,,,,I,,401k,
0001562180-25-002549,2477837,Common Stock,,,,1849.0,,,,I,,401k,
0001127602-25-009846,2536152,Common Stock,,,,12850.44,F1,,,I,,By 401(k),
0001127602-25-009846,2536153,Common Stock,,,,7916.4,,,,I,,By Benefit Plan,
